epoch,accuracy,loss,val_accuracy,val_loss
0,0.3736506998538971,1.329325795173645,0.43515849113464355,1.2914276123046875
1,0.6448934674263,1.0058565139770508,0.6484149694442749,0.9397652745246887
2,0.7877110242843628,0.5992381572723389,0.680115282535553,0.7797926068305969
3,0.8497093915939331,0.42411714792251587,0.7060518860816956,0.7953415513038635
4,0.8815388679504395,0.336893767118454,0.6858789920806885,0.8230670094490051
5,0.9061721563339233,0.27679547667503357,0.6916426420211792,0.8576410412788391
6,0.92360919713974,0.22746388614177704,0.6743515729904175,0.930820107460022
7,0.9429836869239807,0.18718422949314117,0.6887608170509338,0.9920090436935425
8,0.9504566788673401,0.16084608435630798,0.680115282535553,1.03302001953125
9,0.9609742760658264,0.13993997871875763,0.6887608170509338,1.0352197885513306
10,0.9640188217163086,0.12179365009069443,0.6916426420211792,1.0982593297958374
11,0.9684472680091858,0.11241608113050461,0.680115282535553,1.1351580619812012
12,0.9701079726219177,0.10449093580245972,0.6858789920806885,1.2515381574630737
13,0.9706615209579468,0.09918807446956635,0.6685879230499268,1.262634038925171
14,0.9745364189147949,0.08678470551967621,0.6858789920806885,1.2962650060653687
15,0.9739828109741211,0.0858352929353714,0.6685879230499268,1.311603307723999
16,0.975643515586853,0.07969765365123749,0.6772334575653076,1.3718539476394653
17,0.975643515586853,0.07855138182640076,0.6887608170509338,1.368173360824585
18,0.9748131632804871,0.07348524779081345,0.6887608170509338,1.4069751501083374
19,0.9767506122589111,0.07002156227827072,0.6772334575653076,1.4518564939498901
20,0.9767506122589111,0.07021617144346237,0.680115282535553,1.4739502668380737
21,0.9784113168716431,0.06244918704032898,0.6772334575653076,1.524590253829956
22,0.9792416095733643,0.06433103233575821,0.6685879230499268,1.514896273612976
23,0.9786880612373352,0.06462276726961136,0.680115282535553,1.5336637496948242
24,0.977027416229248,0.06155633553862572,0.6657060384750366,1.5654743909835815
